  place,date,   HumidMean,   HumidMax,   HumidMin
  Hupsel,20160101,   93,  100,   82
  Hupsel,20160102,   90,   95,   80
  Hupsel,20160103,   92,   99,   85
  Hupsel,20160104,   96,   99,   92
  Hupsel,20160105,   95,   99,   86
  Hupsel,20160106,   94,   96,   93
  Hupsel,20160107,   89,   99,   76
  Hupsel,20160108,   81,   90,   74
  Hupsel,20160109,   86,   95,   76
  Hupsel,20160110,   80,   91,   65
  Hupsel,20160111,   93,   96,   89
  Hupsel,20160112,   87,   95,   75
  Hupsel,20160113,   89,   95,   78
  Hupsel,20160114,   89,   93,   82
  Hupsel,20160115,   94,   97,   90
  Hupsel,20160116,   90,   96,   80
  Hupsel,20160117,   88,   97,   74
  Hupsel,20160118,   82,   93,   63
  Hupsel,20160119,   81,   90,   69
  Hupsel,20160120,   89,  100,   78
  Hupsel,20160121,   90,   99,   81
  Hupsel,20160122,   83,   98,   62
  Hupsel,20160123,   99,  100,   95
  Hupsel,20160124,   95,  100,   84
  Hupsel,20160125,   83,   97,   62
  Hupsel,20160126,   85,   92,   75
  Hupsel,20160127,   87,   94,   80
  Hupsel,20160128,   77,   89,   65
  Hupsel,20160129,   83,   93,   77
  Hupsel,20160130,   89,   95,   81
  Hupsel,20160131,   90,   98,   81
  Hupsel,20160201,   88,   99,   75
  Hupsel,20160202,   75,   86,   70
  Hupsel,20160203,   84,   95,   63
  Hupsel,20160204,   94,   99,   90
  Hupsel,20160205,   92,   99,   85
  Hupsel,20160206,   77,   86,   69
  Hupsel,20160207,   70,   82,   65
  Hupsel,20160208,   78,   92,   59
  Hupsel,20160209,   86,   97,   67
  Hupsel,20160210,   90,   97,   78
  Hupsel,20160211,   88,  100,   69
  Hupsel,20160212,   87,  100,   70
  Hupsel,20160213,   83,   93,   67
  Hupsel,20160214,   96,  100,   91
  Hupsel,20160215,   83,   96,   67
  Hupsel,20160216,   82,   99,   62
  Hupsel,20160217,   83,   97,   68
  Hupsel,20160218,   78,   90,   57
  Hupsel,20160219,   89,   96,   80
  Hupsel,20160220,   91,   98,   79
  Hupsel,20160221,   92,   99,   83
  Hupsel,20160222,   93,   99,   87
  Hupsel,20160223,   88,   99,   68
  Hupsel,20160224,   86,  100,   60
  Hupsel,20160225,   90,   96,   69
  Hupsel,20160226,   85,  100,   55
  Hupsel,20160227,   71,   88,   50
  Hupsel,20160228,   71,   89,   46
  Hupsel,20160229,   72,   94,   44
  Hupsel,20160301,   88,  100,   63
  Hupsel,20160302,   85,   97,   64
  Hupsel,20160303,   84,   96,   66
  Hupsel,20160304,   93,  100,   75
  Hupsel,20160305,   93,  100,   67
  Hupsel,20160306,   91,  100,   64
  Hupsel,20160307,   90,   99,   67
  Hupsel,20160308,   89,   99,   74
  Hupsel,20160309,   70,   87,   44
  Hupsel,20160310,   77,   96,   63
  Hupsel,20160311,   89,  100,   76
  Hupsel,20160312,   79,   95,   62
  Hupsel,20160313,   77,   85,   68
  Hupsel,20160314,   70,   92,   45
  Hupsel,20160315,   93,  100,   83
  Hupsel,20160316,   70,   89,   53
  Hupsel,20160317,   69,   94,   46
  Hupsel,20160318,   92,  100,   79
  Hupsel,20160319,   80,   91,   68
  Hupsel,20160320,   90,   98,   72
  Hupsel,20160321,   84,   96,   71
  Hupsel,20160322,   86,   97,   71
  Hupsel,20160323,   81,   94,   66
  Hupsel,20160324,   85,   97,   69
  Hupsel,20160325,   91,   97,   80
  Hupsel,20160326,   75,  100,   51
  Hupsel,20160327,   72,   93,   56
  Hupsel,20160328,   69,   90,   48
  Hupsel,20160329,   79,   91,   59
  Hupsel,20160330,   70,   89,   50
  Hupsel,20160331,   77,   96,   58
  Hupsel,20160401,   72,   96,   47
  Hupsel,20160402,   70,   81,   56
  Hupsel,20160403,   71,   82,   57
  Hupsel,20160404,   74,   84,   52
  Hupsel,20160405,   87,   95,   78
  Hupsel,20160406,   81,   94,   65
  Hupsel,20160407,   77,   89,   59
  Hupsel,20160408,   84,   98,   59
  Hupsel,20160409,   67,   99,   37
  Hupsel,20160410,   67,   81,   49
  Hupsel,20160411,   64,   78,   48
  Hupsel,20160412,   72,   97,   41
  Hupsel,20160413,   83,  100,   52
  Hupsel,20160414,   76,  100,   49
  Hupsel,20160415,   89,   99,   75
  Hupsel,20160416,   78,   93,   61
  Hupsel,20160417,   79,   96,   60
  Hupsel,20160418,   71,   99,   49
  Hupsel,20160419,   71,   91,   42
  Hupsel,20160420,   73,  100,   48
  Hupsel,20160421,   67,   91,   42
  Hupsel,20160422,   71,   97,   51
  Hupsel,20160423,   74,   91,   51
  Hupsel,20160424,   83,   96,   61
  Hupsel,20160425,   85,   95,   60
  Hupsel,20160426,   88,   96,   76
  Hupsel,20160427,   80,   95,   58
  Hupsel,20160428,   82,   97,   52
  Hupsel,20160429,   82,   93,   71
  Hupsel,20160430,   76,   95,   53
  Hupsel,20160501,   77,   94,   50
  Hupsel,20160502,   72,  100,   49
  Hupsel,20160503,   75,   97,   50
  Hupsel,20160504,   70,  100,   40
  Hupsel,20160505,   59,   81,   39
  Hupsel,20160506,   60,   88,   30
  Hupsel,20160507,   50,   77,   30
  Hupsel,20160508,   48,   79,   30
  Hupsel,20160509,   52,   70,   36
  Hupsel,20160510,   66,   93,   43
  Hupsel,20160511,   59,   94,   34
  Hupsel,20160512,   54,   76,   37
  Hupsel,20160513,   58,   79,   27
  Hupsel,20160514,   69,   91,   51
  Hupsel,20160515,   78,   93,   61
  Hupsel,20160516,   78,   95,   57
  Hupsel,20160517,   72,   89,   56
  Hupsel,20160518,   72,   99,   52
  Hupsel,20160519,   80,   98,   55
  Hupsel,20160520,   88,   98,   79
  Hupsel,20160521,   72,   97,   49
  Hupsel,20160522,   80,   98,   62
  Hupsel,20160523,   95,   99,   90
  Hupsel,20160524,   88,   97,   82
  Hupsel,20160525,   86,  100,   68
  Hupsel,20160526,   74,  100,   51
  Hupsel,20160527,   87,   92,   75
  Hupsel,20160528,   78,   99,   57
  Hupsel,20160529,   88,   96,   78
  Hupsel,20160530,   91,   99,   73
  Hupsel,20160531,   76,   98,   52
  Hupsel,20160601,   83,   98,   67
