Code,Country,LifeExp
AUS,Australia,82.2
AUT,Austria,81.2
BEL,Belgium,80.7
CAN,Canada,81.5
CHL,Chile,78.8
CZE,Czech Republic,78.3
DNK,Denmark,80.4
EST,Estonia,77.3
FIN,Finland,81.1
FRA,France,82.3
DEU,Germany,80.9
GRC,Greece,81.4
HUN,Hungary,75.7
ISL,Iceland,82.1
IRL,Ireland,81.1
ISR,Israel,82.1
ITA,Italy,82.8
JPN,Japan,83.4
KOR,Korea,81.8
LVA,Latvia,74.1
LUX,Luxembourg,81.9
MEX,Mexico,74.6
NLD,Netherlands,81.4
NZL,New Zealand,81.4
NOR,Norway,81.8
POL,Poland,77.1
PRT,Portugal,80.8
SVK,Slovak Republic,76.5
SVN,Slovenia,80.4
ESP,Spain,83.2
SWE,Sweden,82
CHE,Switzerland,82.9
TUR,Turkey,76.6
GBR,United Kingdom,81.1
USA,United States,78.8
BRA,Brazil,75
RUS,Russia,70.7
ZAF,South Africa,56.8
