Code,Country,LifeExp
AUS,Australia,80.1
AUT,Austria,78.6
BEL,Belgium,78.1
CAN,Canada,79.3
CHL,Chile,76.3
CZE,Czech Republic,75.2
DNK,Denmark,78.3
EST,Estonia,72.8
FIN,Finland,78
FRA,France,79
DEU,Germany,78.6
GRC,Greece,78.7
HUN,Hungary,72.2
ISL,Iceland,80.5
IRL,Ireland,79
ISR,Israel,80.3
ITA,Italy,80.3
JPN,Japan,80.2
KOR,Korea,78.5
LVA,Latvia,69.3
LUX,Luxembourg,79.8
MEX,Mexico,71.7
NLD,Netherlands,79.5
NZL,New Zealand,79.5
NOR,Norway,79.8
POL,Poland,73
PRT,Portugal,77.6
SVK,Slovak Republic,72.9
SVN,Slovenia,77.2
ESP,Spain,80.2
SWE,Sweden,80.2
CHE,Switzerland,80.7
TUR,Turkey,73.7
GBR,United Kingdom,79.2
USA,United States,76.4
BRA,Brazil,71.3
RUS,Russia,65.1
ZAF,South Africa,54.7
