Code,Country,LifeExp
AUS,Australia,84.3
AUT,Austria,83.8
BEL,Belgium,83.2
CAN,Canada,83.6
CZE,Czech Republic,81.3
DNK,Denmark,82.4
FIN,Finland,84.1
FRA,France,85.6
DEU,Germany,83.2
GRC,Greece,84
HUN,Hungary,79.1
ISL,Iceland,83.7
IRL,Ireland,83.1
ITA,Italy,85.2
JPN,Japan,86.6
KOR,Korea,85.1
LUX,Luxembourg,83.9
MEX,Mexico,77.4
NLD,Netherlands,83.2
NZL,New Zealand,83.2
NOR,Norway,83.8
POL,Poland,81.2
PRT,Portugal,84
SVK,Slovak Republic,80.1
ESP,Spain,86.1
SWE,Sweden,83.8
CHE,Switzerland,85
TUR,Turkey,79.4
GBR,United Kingdom,82.9
USA,United States,81.2
BRA,Brazil,78.6
CHL,Chile,81.4
EST,Estonia,81.7
ISR,Israel,83.9
RUS,Russia,76.3
SVN,Slovenia,83.6
LVA,Latvia,78.9
ZAF,South Africa,58.8
