Code,Country,DWBF,EmpRate,pEarn,QOSN,YearsEdu,AirPol,WaterQ,SRHealth,LifeSatis,Safe,HomRate
AUS,Australia,1.1,77,55540,96,19,6,94,85,7.3,79.6,1.1
AUT,Austria,1,75,49945,93,16.9,15,92,71,7,86.1,0.4
BEL,Belgium,2.1,66,48909,89,18.1,19,84,77,6.9,78.5,1.5
CAN,Canada,0.2,75,51188,94,16,12,92,89,7.3,91.7,2.1
CHL,Chile,9.4,73,23233,83,16.9,18,71,67,6.6,50.9,6.6
CZE,Czech Republic,0.7,77,23864,87,17,17,89,62,6.6,79.6,0.9
DNK,Denmark,0.5,76,51733,96,19.2,11,97,74,7.4,93.3,0.4
EST,Estonia,7.2,73,24079,90,17.1,9,86,57,5.7,77.9,7.6
FIN,Finland,0.6,70,45706,92,19.3,7,94,65,7.2,92.7,2.2
FRA,France,0.5,68,44219,90,16.1,14,80,70,6.4,78.8,0.8
DEU,Germany,0,78,46707,93,18.3,15,95,67,7,83.5,0.4
GRC,Greece,0.5,58,27577,82,18.1,15,72,77,5.6,74.7,2.4
HUN,Hungary,5.3,68,22787,79,17,16,76,61,5.4,63.3,1.5
ISL,Iceland,0,84,63638,95,18.9,7,97,79,7.4,88.2,0.6
IRL,Ireland,0.1,66,57988,94,17.6,8,81,83,6.9,85.2,1.4
ISR,Israel,4.4,72,33126,85,15.5,26,65,82,7.1,71,2.9
ITA,Italy,0.8,66,36828,92,16.4,18,73,70,5.9,66.6,1.1
JPN,Japan,6.4,82,39327,88,16,16,89,37,5.8,79.9,0.3
KOR,Korea,4.2,76,37067,73,18.1,29,77,39,5.4,74,1.2
LVA,Latvia,14.7,68,23908,81,17.3,12,76,54,5.9,71.5,9.8
LUX,Luxembourg,0.1,73,63457,94,15,15,88,74,6.8,76.1,0
MEX,Mexico,4.2,78,13674,71,14.4,12,65,67,6.2,41.5,44.5
NLD,Netherlands,0,78,52740,88,17.9,17,93,80,7.2,88.7,0.9
NZL,New Zealand,0.3,80,47444,99,17.4,9,93,90,7.3,82.4,1.6
NOR,Norway,0,77,52744,92,17.6,6,98,77,7.6,95.9,1.2
POL,Poland,3.1,68,25794,84,17.2,17,84,62,5.8,71,1.6
PRT,Portugal,1,66,25460,85,17.4,10,87,51,4.9,83.5,1.2
SVK,Slovak Republic,1.3,68,23355,93,15.7,16,80,71,6.2,71.7,1.4
SVN,Slovenia,0.6,68,34319,89,17.6,14,92,68,5.8,94.2,0.5
ESP,Spain,0.1,62,37215,94,17.5,12,70,75,6.2,85,0.9
SWE,Sweden,0,77,44623,93,18.1,7,96,84,7.2,87.9,1.1
CHE,Switzerland,0,84,64476,93,17.5,17,96,83,7.7,91.8,0.6
TUR,Turkey,7.6,70,15946,85,17.2,17,63,73,5.5,68.6,2.8
GBR,United Kingdom,0.4,78,43942,93,16.3,11,88,74,6.5,80.9,0.4
USA,United States,0.1,73,62150,88,16.5,11,86,88,6.8,84.7,8.1
BRA,Brazil,6.7,79,10968,89,15.3,17,79,72,6.5,50.5,50.2
RUS,Russia,14.4,74,28970,90,15.7,14,49,45,6.2,61.5,19.1
ZAF,South Africa,20.5,49,5815,89,15.3,14,71,70,5,50,17.3
